"filename", "language", "Markdown", "Python", "Docker", "YAML", "Shell Script", "pip requirements", "JSON", "JavaScript", "XML", "PostCSS", "HTML", "PHP", "SCSS", "comment", "blank", "total"
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/styles/prettify-tomorrow.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 33, 26, 133
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/editormd.amd.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3142, 0, 0, 0, 0, 0, 617, 909, 4668
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/editormd.amd.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/editormd.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3074, 0, 0, 0, 0, 0, 619, 905, 4598
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/editormd.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/@links.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 32, 135
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/auto-height.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 3, 55
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/change-mode.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 434, 0, 0, 0, 74, 508
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/code-fold.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/css/style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 1, 16, 94
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/custom-keyboard-shortcuts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 12, 118
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/custom-toolbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 1, 20, 178
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/define-plugin.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 27, 151
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/delay-renderer-preview.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 56
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/dynamic-create-editormd.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 4, 47
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/emoji.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 57, 191
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/extends.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 25, 153
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/external-use.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 1, 16, 119
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/examples/flowchart.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 6, 53
